precio canon,zona,tipo,descripcion,ciudad
1500000.0,CENTRO LAS NIEVES,Apartaestudio,"Apartaestudio en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
1700000.0,CENTRO LAS NIEVES,Apartaestudio,"Apartaestudio en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
2180000.0,CENTRO LAS NIEVES,Apartaestudio,"Apartaestudio en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
2000000.0,CENTRO ZONA COLONIAL LAS NIEVES SAN DIEGO,Apartamento,"Apartamento en Arriendo, CENTRO ZONA COLONIAL LAS NIEVES SAN DIEGO, Bogotá D.C.",Bogotá
1500000.0,CENTRO LAS NIEVES,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
2200000.0,CENTRO LAS NIEVES,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
1460000.0,CENTRO LAS NIEVES,Apartaestudio,"Apartaestudio en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
2100000.0,CENTRO LAS NIEVES,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
2000000.0,CENTRO LAS NIEVES,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES, Bogotá D.C.",Bogotá
1650000.0,CENTRO DE LAS NIEVES,Apartaestudio,"Apartaestudio en Arriendo, CENTRO DE LAS NIEVES, Bogotá D.C.",Bogotá
1900000.0,LAS NIEVES Centro y Zona Colonial,Apartaestudio,"Apartaestudio en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
1700000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
1600000.0,CENTRO LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2200000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2300000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2100000.0,CENTRO LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, CENTRO LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2800000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
1780000.0,LAS NIEVES Centro y Zona Colonial,Apartaestudio,"Apartaestudio en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2450000.0,CENTRO LAS NIEVES Centro y Zona Colonial,Apartaestudio,"Apartaestudio en Arriendo, CENTRO LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
1700000.0,LAS NIEVES Centro y Zona Colonial,Apartaestudio,"Apartaestudio en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
1600000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
2100000.0,LAS NIEVES Centro y Zona Colonial,Apartamento,"Apartamento en Arriendo, LAS NIEVES Centro y Zona Colonial, Bogotá D.C.",Bogotá
