id,titulo,precio,moneda,barrio,ciudad,area,habitaciones,baños,link
193457006,"Apartamento en Arriendo en Chapinero central, Bogotá","{'amount': 3880000, 'admin_included': 4500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3800.49}}",$,N/A,N/A,0 m2,3,0,https://www.fincaraiz.com.co
193063091,"Apartamento en Arriendo en Chapinero, Bogotá","{'amount': 4500000, 'admin_included': 4500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3671.71}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193436290,"Apartamento en Arriendo en Chapinero, Bogotá","{'amount': 5000000, 'admin_included': 5000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3704.26}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
191919864,"Apartamento en  Arriendo en Marly, Bogotá","{'amount': 1650000, 'admin_included': 1650000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3775.74}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
193295823,"Apartamento en Arriendo en Chapinero Alto, Bogotá","{'amount': 3200000, 'admin_included': 3200000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3685.7}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193239675,"Apartamento en Arriendo en Chapinero central, Bogotá","{'amount': 1100000, 'admin_included': 1401200, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3678.29}}",$,N/A,N/A,0 m2,1,0,https://www.fincaraiz.com.co
193368644,"Apartamento en Arriendo en Chapinero, Bogotá","{'amount': 2400000, 'admin_included': 2400000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3704.26}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
193283985,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 8800000, 'admin_included': 8800000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3800.49}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193397410,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 5372300, 'admin_included': 6000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3689.74}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193381200,"Apartamento en Arriendo en Chapinero Alto, Bogotá","{'amount': 5000000, 'admin_included': 5000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3800.49}}",$,N/A,N/A,0 m2,3,0,https://www.fincaraiz.com.co
11111395,"Apartamento en arriendo en Chapinero, Bogotá","{'amount': 12000000, 'admin_included': 12000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3696.17}}",$,N/A,N/A,0 m2,8,0,https://www.fincaraiz.com.co
191922415,"Apartamento en  Arriendo en Los rosales, Bogotá","{'amount': 18000000, 'admin_included': 20000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3758.87}}",$,N/A,N/A,0 m2,4,0,https://www.fincaraiz.com.co
192750217,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 6750000, 'admin_included': 8500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3671.71}}",$,N/A,N/A,0 m2,3,0,https://www.fincaraiz.com.co
7819274,"Apartamento en arriendo en Chapinero, Bogotá","{'amount': 2500000, 'admin_included': 2500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3685.7}}",$,N/A,N/A,0 m2,1,0,https://www.fincaraiz.com.co
193393291,"Apartamento en Arriendo en Quinta camacho, Bogotá","{'amount': 2700000, 'admin_included': 2700000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3704.26}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
193367747,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 5500000, 'admin_included': 8000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3685.7}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193431134,"Apartamento en Arriendo en La soledad, Bogotá","{'amount': 1500000, 'admin_included': 1500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3796.66}}",$,N/A,N/A,0 m2,2,0,https://www.fincaraiz.com.co
193451718,"Apartamento en Arriendo en Chapinero, Bogotá","{'amount': 3150000, 'admin_included': 3150000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3800.49}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
193202804,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 15400000, 'admin_included': 19000000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3689.74}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
10842579,"Apartamento en arriendo en Chapinero Alto, Bogotá","{'amount': 2900000, 'admin_included': 2900000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3689.74}}",$,N/A,N/A,0 m2,1,0,https://www.fincaraiz.com.co
193118986,"Apartamento en Arriendo en Los rosales, Bogotá","{'amount': 5000000, 'admin_included': 6500000, 'hidePrice': False, 'currency': {'id': 4, 'name': '$', 'rate': 3663.35}}",$,N/A,N/A,0 m2,0,0,https://www.fincaraiz.com.co
